timer,roll,pitch,yaw,accel_x,accel_y,accel_z,posx,posy,posz
  0.26882, 0.09753, 0.07332, 2.88050,  0.02723, -0.04662, -0.40572, -0.00252, -0.00351, -0.01442
  0.26989, 0.09756, 0.07332, 2.88053,  0.02727, -0.05359, -0.40319, -0.00253, -0.00354, -0.01454
  0.27097, 0.09758, 0.07330, 2.88056,  0.02262, -0.05334, -0.40575, -0.00254, -0.00356, -0.01466
  0.27204, 0.09760, 0.07329, 2.88059,  0.02512, -0.05313, -0.41854, -0.00255, -0.00358, -0.01478
  0.27718, 0.09762, 0.07329, 2.88062,  0.02995, -0.05294, -0.42623, -0.00256, -0.00361, -0.01492
  0.27752, 0.09764, 0.07329, 2.88064,  0.03233, -0.05277, -0.43136, -0.00257, -0.00364, -0.01506
  0.27786, 0.09766, 0.07329, 2.88067,  0.03467, -0.05495, -0.42627, -0.00259, -0.00366, -0.01520
  0.27819, 0.09769, 0.07331, 2.88069,  0.03932, -0.05473, -0.41608, -0.00260, -0.00369, -0.01533
  0.27852, 0.09770, 0.07333, 2.88071,  0.03917, -0.05212, -0.41867, -0.00261, -0.00371, -0.01546
  0.27885, 0.09771, 0.07333, 2.88074,  0.03433, -0.04485, -0.42634, -0.00262, -0.00374, -0.01558
  0.27918, 0.09771, 0.07332, 2.88078,  0.02723, -0.04244, -0.43145, -0.00263, -0.00376, -0.01571
  0.27952, 0.09771, 0.07329, 2.88082,  0.01792, -0.04481, -0.43910, -0.00264, -0.00378, -0.01582
  0.27985, 0.09771, 0.07325, 2.88087,  0.01114, -0.04242, -0.44673, -0.00265, -0.00381, -0.01594
  0.28018, 0.09770, 0.07321, 2.88092,  0.01391, -0.03537, -0.45180, -0.00265, -0.00383, -0.01605
  0.28052, 0.09767, 0.07318, 2.88098,  0.01428, -0.03083, -0.45941, -0.00266, -0.00385, -0.01615
  0.28088, 0.09765, 0.07315, 2.88103,  0.01934, -0.03583, -0.46959, -0.00267, -0.00387, -0.01626
  0.28121, 0.09763, 0.07315, 2.88106,  0.03372, -0.03838, -0.46447, -0.00268, -0.00389, -0.01635
  0.28161, 0.09762, 0.07316, 2.88110,  0.04076, -0.03850, -0.45425, -0.00269, -0.00390, -0.01645
  0.28194, 0.09761, 0.07318, 2.88113,  0.04298, -0.04098, -0.45425, -0.00269, -0.00392, -0.01654
  0.28228, 0.09759, 0.07319, 2.88118,  0.03574, -0.03161, -0.45679, -0.00270, -0.00394, -0.01662
  0.28335, 0.09755, 0.07317, 2.88123,  0.02629, -0.02714, -0.45163, -0.00271, -0.00395, -0.01671
  0.28445, 0.09754, 0.07314, 2.88122,  0.01702, -0.03927, -0.45160, -0.00271, -0.00397, -0.01679
  0.28552, 0.09755, 0.07310, 2.88115,  0.01262, -0.04882, -0.45413, -0.00272, -0.00399, -0.01688
  0.28661, 0.09756, 0.07308, 2.88105,  0.02007, -0.04875, -0.45412, -0.00273, -0.00400, -0.01697
  0.28769, 0.09757, 0.07306, 2.88091,  0.02501, -0.04867, -0.44134, -0.00273, -0.00401, -0.01703
  0.28877, 0.09759, 0.07305, 2.88075,  0.02748, -0.05329, -0.43113, -0.00274, -0.00403, -0.01710
  0.28984, 0.09762, 0.07304, 2.88056,  0.02520, -0.06017, -0.42349, -0.00274, -0.00404, -0.01717
